C:\Users\peter\Desktop\Touchscreen DOE\Subject Data\EMerge 11 26 18\TDOE_11_26_18.emrg2,,,,,,,,,,,,,
ExperimentName,Subject,Group,Buzz,Prompt,SessionDate,Block,ComparisonStimuli.ACC,ComparisonStimuli.RESP,ComparisonStimuli.RT,CorrectAnswer,NumericCorrectAnswer,FbMovie,SampleStimulus
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,1,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,2,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,3,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,4,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,5,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,6,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,7,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,8,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,9,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,10,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,11,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,12,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,13,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,14,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,15,0,Right,2080,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,16,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,17,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,18,0,Image1,1504,Right,1,Trolls,Square_Solid.png
