C:\Users\peter\Desktop\Touchscreen DOE\Subject Data\Children\TDOE_2_25_19.emrg2,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Age,SessionDate,Group,Block,BothSelected,ComparisonStimuli.ACC,ComparisonStimuli.RESP,ComparisonStimuli.RT,CorrectAnswer,NumericCorrectAnswer,CorrectAnswerL,CorrectAnswerR,Trial,FbMovie,LeftResponseStimulus,ResponseStimulus,RightResponseStimulus,Running,SampleStimulus
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,1,GreenHeartPurpleCloud.png,,,,,,Heart,Cloud,,,GreenHeartCloud.png,HeartCloud.png,HeartPurpleCloud.png,0,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,2,BlueTriangleRedStar.png,,,,,,Triangle,Star,,,BlueTriangleStar.png,TriangleStar.png,TriangleRedStar.png,0,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,3,,0,Right,2462,Left,2,,,1,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,4,,0,Right,1306,Left,2,,,2,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,5,,0,Left,3549,Right,1,,,3,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,6,,0,TimedOut,5000,Left,2,,,4,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,7,,0,Right,3988,Left,2,,,5,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,8,,0,Right,2193,Left,2,,,6,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,9,,0,Right,3409,Left,2,,,7,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,10,,0,Left,2997,Right,1,,,8,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,11,,0,TimedOut,5000,Right,1,,,9,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,12,,0,Right,2262,Left,2,,,10,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,13,,0,Right,660,Left,2,,,11,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,14,,0,TimedOut,5000,Right,1,,,12,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,15,,0,TimedOut,5000,Right,1,,,13,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,16,,0,Right,4125,Left,2,,,14,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,17,,0,Right,1195,Left,2,,,15,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,18,,1,Right,1066,Right,1,,,16,Trolls01.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,19,,0,Right,986,Left,2,,,17,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,20,,0,Left,1518,Right,1,,,18,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,21,,1,Left,1365,Left,2,,,19,Moana01.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,22,,0,TimedOut,5000,Right,1,,,20,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,23,,0,Right,1942,Left,2,,,21,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,24,,0,TimedOut,5000,Left,2,,,22,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,25,,0,TimedOut,5000,Left,2,,,23,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,26,,0,Right,1474,Left,2,,,24,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,27,,1,Right,1164,Right,1,,,25,Trolls02.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,28,,0,Right,1632,Left,2,,,26,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,29,,0,Left,1820,Right,1,,,27,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,30,,0,Left,946,Right,1,,,28,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,31,,0,Left,1007,Right,1,,,29,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,32,,0,Left,1434,Right,1,,,30,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,33,,1,Left,1886,Left,2,,,31,Moana02.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,34,,0,TimedOut,5000,Left,2,,,32,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,35,,0,TimedOut,5000,Right,1,,,33,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,36,,0,Left,2179,Right,1,,,34,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,37,,0,TimedOut,5000,Right,1,,,35,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,38,,0,TimedOut,5000,Left,2,,,36,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,39,,0,TimedOut,5000,Right,1,,,37,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,40,,0,Right,4119,Left,2,,,38,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,41,,0,TimedOut,5000,Right,1,,,39,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,42,,0,Right,909,Left,2,,,40,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,43,,1,Right,1047,Right,1,,,41,Trolls03.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,44,,0,Left,3962,Right,1,,,42,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,45,,0,Left,3188,Right,1,,,43,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,46,,0,Image1,138,Left,2,,,44,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,47,,0,TimedOut,5000,Right,1,,,45,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,48,,0,TimedOut,5000,Left,2,,,46,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,49,,0,Left,1551,Right,1,,,47,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990001,6,1/10/19,1,50,,0,Left,2073,Right,1,,,48,Trolls,,,,1,Square_Solid.png
