"","Group","Subject","ACCMovWin"
"1",1,18999024,0
"2",1,18999024,0
"3",1,18999024,0
"4",1,18999024,0
"5",1,18999024,0
"6",1,18999024,0
"7",1,18999024,0
"8",1,18999024,0
"9",1,18999024,0
"10",1,18999024,0
"11",1,18999024,0
"12",1,18999024,0
"13",1,18999024,0
"14",1,18999024,0
"15",1,18999024,0
"16",1,18999024,0
"17",1,18999024,0
"18",1,18999024,0
"19",1,18999024,0
"20",1,18999024,0
"21",1,18999024,0
"22",1,18999024,0
"23",1,18999024,0.2
"24",1,18999024,0.4
"25",1,18999024,0.4
"26",1,18999024,0.4
"27",1,18999024,0.4
"28",1,18999024,0.2
"29",1,18999024,0
"30",1,18999024,0.2
"31",1,18999024,0.2
"32",1,18999024,0.4
"33",1,18999024,0.6
"34",1,18999024,0.8
"35",1,18999024,0.8
"36",1,18999024,1
"37",1,18999024,1
"38",1,18999024,1
"39",1,18999024,1
"40",1,18999024,1
"41",1,18999024,1
"42",1,18999024,1
"43",1,18999024,1
"44",1,18999024,1
"45",1,18999024,1
"46",1,18999024,1
"47",1,18999026,0.75
"48",1,18999026,0.75
"49",1,18999026,0.75
"50",1,18999026,0.8
"51",1,18999026,0.6
"52",1,18999026,0.6
"53",1,18999026,0.4
"54",1,18999026,0.4
"55",1,18999026,0.4
"56",1,18999026,0.4
"57",1,18999026,0.6
"58",1,18999026,0.6
"59",1,18999026,0.4
"60",1,18999026,0.4
"61",1,18999026,0.6
"62",1,18999026,0.4
"63",1,18999026,0.6
"64",1,18999026,0.6
"65",1,18999026,0.4
"66",1,18999026,0.2
"67",1,18999026,0.4
"68",1,18999026,0.4
"69",1,18999026,0.4
"70",1,18999026,0.6
"71",1,18999026,0.8
"72",1,18999026,0.8
"73",1,18999026,0.8
"74",1,18999026,1
"75",1,18999026,1
"76",1,18999026,1
"77",1,18999026,0.8
"78",1,18999026,0.8
"79",1,18999026,0.8
"80",1,18999026,0.8
"81",1,18999026,0.8
"82",1,18999026,1
"83",1,18999026,1
"84",1,18999026,1
"85",1,18999026,1
"86",1,18999026,1
"87",1,18999026,0.8
"88",1,18999026,0.8
"89",1,18999026,0.75
"90",1,18999026,0.75
"91",1,18999026,0.75
"92",1,18999026,1
"93",1,18999028,0
"94",1,18999028,0
"95",1,18999028,0
"96",1,18999028,0
"97",1,18999028,0
"98",1,18999028,0
"99",1,18999028,0.333333333333333
"100",1,18999028,0.25
"101",1,18999028,0.5
"102",1,18999028,0.5
"103",1,18999028,0.4
"104",1,18999028,0.2
"105",1,18999028,0.2
"106",1,18999028,0.2
"107",1,18999028,0.4
"108",1,18999028,0.6
"109",1,18999028,0.8
"110",1,18999028,1
"111",1,18999028,1
"112",1,18999028,1
"113",1,18999028,1
"114",1,18999028,1
"115",1,18999028,1
"116",1,18999028,1
"117",1,18999028,1
"118",1,18999028,1
"119",1,18999028,1
"120",1,18999028,1
"121",1,18999028,1
"122",1,18999028,1
"123",1,18999028,1
"124",1,18999028,0.8
"125",1,18999028,0.6
"126",1,18999028,0.4
"127",1,18999028,0.4
"128",1,18999028,0.4
"129",1,18999028,0.6
"130",1,18999028,0.8
"131",1,18999028,1
"132",1,18999028,1
"133",1,18999028,1
"134",1,18999028,1
"135",1,18999028,1
"136",1,18999028,1
"137",1,18999028,1
"138",1,18999028,1
"139",1,18999030,1
"140",1,18999030,1
"141",1,18999030,1
"142",1,18999030,1
"143",1,18999030,1
"144",1,18999030,1
"145",1,18999030,1
"146",1,18999030,1
"147",1,18999030,1
"148",1,18999030,1
"149",1,18999030,1
"150",1,18999030,1
"151",1,18999030,1
"152",1,18999030,1
"153",1,18999030,1
"154",1,18999030,1
"155",1,18999030,1
"156",1,18999030,1
"157",1,18999030,1
"158",1,18999030,1
"159",1,18999030,1
"160",1,18999030,1
"161",1,18999030,1
"162",1,18999030,1
"163",1,18999030,1
"164",1,18999030,1
"165",1,18999030,1
"166",1,18999030,1
"167",1,18999030,1
"168",1,18999030,1
"169",1,18999030,1
"170",1,18999030,1
"171",1,18999030,1
"172",1,18999030,1
"173",1,18999030,1
"174",1,18999030,1
"175",1,18999030,1
"176",1,18999030,1
"177",1,18999030,1
"178",1,18999030,1
"179",1,18999030,1
"180",1,18999030,1
"181",1,18999030,1
"182",1,18999030,1
"183",1,18999030,1
"184",1,18999030,1
"185",1,18999032,0
"186",1,18999032,0
"187",1,18999032,0.333333333333333
