"","Group","Subject","ACCMovWin"
"1",1,19990001,0
"2",1,19990001,0
"3",1,19990001,0
"4",1,19990001,0
"5",1,19990001,0
"6",1,19990001,0
"7",1,19990001,0
"8",1,19990001,0
"9",1,19990001,0
"10",1,19990001,0
"11",1,19990001,0
"12",1,19990001,0.333333333333333
"13",1,19990001,0.25
"14",1,19990001,0.2
"15",1,19990001,0.4
"16",1,19990001,0.5
"17",1,19990001,0.25
"18",1,19990001,0.333333333333333
"19",1,19990001,0.5
"20",1,19990001,0
"21",1,19990001,0.333333333333333
"22",1,19990001,0.333333333333333
"23",1,19990001,0.25
"24",1,19990001,0.2
"25",1,19990001,0.2
"26",1,19990001,0
"27",1,19990001,0.2
"28",1,19990001,0.25
"29",1,19990001,0.333333333333333
"30",1,19990001,0.333333333333333
"31",1,19990001,0.5
"32",1,19990001,0
"33",1,19990001,0
"34",1,19990001,0
"35",1,19990001,0
"36",1,19990001,0
"37",1,19990001,0.333333333333333
"38",1,19990001,0.25
"39",1,19990001,0.25
"40",1,19990001,0.2
"41",1,19990001,0.25
"42",1,19990001,0
"43",1,19990001,0
"44",1,19990001,0
"45",1,19990001,0
"46",1,19990001,0.333333333333333
"47",1,19990003,0.2
"48",1,19990003,0.4
"49",1,19990003,0.6
"50",1,19990003,0.6
"51",1,19990003,0.8
"52",1,19990003,0.6
"53",1,19990003,0.6
"54",1,19990003,0.4
"55",1,19990003,0.4
"56",1,19990003,0.4
"57",1,19990003,0.4
"58",1,19990003,0.4
"59",1,19990003,0.6
"60",1,19990003,0.8
"61",1,19990003,0.8
"62",1,19990003,0.8
"63",1,19990003,0.8
"64",1,19990003,0.8
"65",1,19990003,0.6
"66",1,19990003,0.4
"67",1,19990003,0.4
"68",1,19990003,0.4
"69",1,19990003,0.4
"70",1,19990003,0.6
"71",1,19990003,0.6
"72",1,19990003,0.8
"73",1,19990003,0.8
"74",1,19990003,0.8
"75",1,19990003,0.6
"76",1,19990003,0.8
"77",1,19990003,0.8
"78",1,19990003,0.8
"79",1,19990003,0.75
"80",1,19990003,1
"81",1,19990003,0.75
"82",1,19990003,0.75
"83",1,19990003,0.75
"84",1,19990003,0.6
"85",1,19990003,0.4
"86",1,19990003,0.4
"87",1,19990003,0.2
"88",1,19990003,0
"89",1,19990003,0
"90",1,19990003,0.2
"91",1,19990003,0.4
"92",1,19990003,0.6
"93",1,19990005,0.5
"94",1,19990005,0.5
"95",1,19990005,0.4
"96",1,19990005,0.2
"97",1,19990005,0.2
"98",1,19990005,0.2
"99",1,19990005,0
"100",1,19990005,0.2
"101",1,19990005,0.25
"102",1,19990005,0.25
"103",1,19990005,0.25
"104",1,19990005,0.25
"105",1,19990005,0
"106",1,19990005,0.2
"107",1,19990005,0.2
"108",1,19990005,0.4
"109",1,19990005,0.4
"110",1,19990005,0.4
"111",1,19990005,0.4
"112",1,19990005,0.6
"113",1,19990005,0.4
"114",1,19990005,0.6
"115",1,19990005,0.6
"116",1,19990005,0.5
"117",1,19990005,0.25
"118",1,19990005,0.25
"119",1,19990005,0
"120",1,19990005,0.25
"121",1,19990005,0.2
"122",1,19990005,0.2
"123",1,19990005,0.4
"124",1,19990005,0.6
"125",1,19990005,0.6
"126",1,19990005,0.8
"127",1,19990005,1
"128",1,19990005,1
"129",1,19990005,1
"130",1,19990005,1
"131",1,19990005,1
"132",1,19990005,1
"133",1,19990005,1
"134",1,19990005,0.8
"135",1,19990005,0.8
"136",1,19990005,0.8
"137",1,19990005,0.8
"138",1,19990005,0.75
"139",1,19990007,0.666666666666667
"140",1,19990007,0.75
"141",1,19990007,0.75
"142",1,19990007,0.5
"143",1,19990007,0.6
"144",1,19990007,0.6
"145",1,19990007,0.4
"146",1,19990007,0.2
"147",1,19990007,0.2
"148",1,19990007,0.2
"149",1,19990007,0.2
"150",1,19990007,0.4
"151",1,19990007,0.6
"152",1,19990007,0.6
"153",1,19990007,0.6
"154",1,19990007,0.8
"155",1,19990007,0.6
"156",1,19990007,0.5
"157",1,19990007,0.5
"158",1,19990007,0.25
"159",1,19990007,0
"160",1,19990007,0
"161",1,19990007,0.2
"162",1,19990007,0.2
"163",1,19990007,0.4
"164",1,19990007,0.6
"165",1,19990007,0.8
"166",1,19990007,0.6
"167",1,19990007,0.6
"168",1,19990007,0.6
"169",1,19990007,0.6
"170",1,19990007,0.4
"171",1,19990007,0.6
"172",1,19990007,0.6
"173",1,19990007,0.6
"174",1,19990007,0.4
"175",1,19990007,0.6
"176",1,19990007,0.6
"177",1,19990007,0.8
"178",1,19990007,0.6
"179",1,19990007,0.6
"180",1,19990007,0.4
"181",1,19990007,0.2
"182",1,19990007,0
"183",1,19990007,0.2
"184",1,19990007,0.2
"185",1,19990011,0.4
"186",1,19990011,0.4
"187",1,19990011,0.6
"188",1,19990011,0.4
"189",1,19990011,0.6
"190",1,19990011,0.6
"191",1,19990011,0.8
"192",1,19990011,0.6
"193",1,19990011,0.6
"194",1,19990011,0.4
"195",1,19990011,0.2
"196",1,19990011,0
"197",1,19990011,0
"198",1,19990011,0.2
"199",1,19990011,0.4
"200",1,19990011,0.6
"201",1,19990011,0.8
"202",1,19990011,0.8
"203",1,19990011,0.8
"204",1,19990011,0.6
"205",1,19990011,0.4
"206",1,19990011,0.4
"207",1,19990011,0.6
"208",1,19990011,0.4
"209",1,19990011,0.6
"210",1,19990011,0.8
"211",1,19990011,0.8
"212",1,19990011,0.8
"213",1,19990011,0.8
"214",1,19990011,0.6
"215",1,19990011,0.4
"216",1,19990011,0.4
"217",1,19990011,0.4
"218",1,19990011,0.6
"219",1,19990011,0.8
"220",1,19990011,0.8
"221",1,19990011,0.75
"222",1,19990011,0.5
"223",1,19990011,0.5
"224",1,19990011,0.25
"225",1,19990011,0.5
"226",1,19990011,0.6
"227",1,19990011,0.8
"228",1,19990011,0.8
"229",1,19990011,1
"230",1,19990011,0.8
"231",1,19990015,0.4
"232",1,19990015,0.4
"233",1,19990015,0.4
"234",1,19990015,0.6
"235",1,19990015,0.8
"236",1,19990015,0.8
"237",1,19990015,0.6
"238",1,19990015,0.6
"239",1,19990015,0.4
"240",1,19990015,0.2
"241",1,19990015,0
"242",1,19990015,0
"243",1,19990015,0
"244",1,19990015,0.2
"245",1,19990015,0.2
"246",1,19990015,0.2
"247",1,19990015,0.4
"248",1,19990015,0.6
"249",1,19990015,0.6
"250",1,19990015,0.75
"251",1,19990015,1
"252",1,19990015,1
"253",1,19990015,1
"254",1,19990015,1
"255",1,19990015,0.8
"256",1,19990015,0.6
"257",1,19990015,0.6
"258",1,19990015,0.6
"259",1,19990015,0.4
"260",1,19990015,0.4
"261",1,19990015,0.6
"262",1,19990015,0.4
"263",1,19990015,0.4
"264",1,19990015,0.4
"265",1,19990015,0.4
"266",1,19990015,0.2
"267",1,19990015,0.4
"268",1,19990015,0.4
"269",1,19990015,0.6
"270",1,19990015,0.6
"271",1,19990015,0.8
"272",1,19990015,0.75
"273",1,19990015,0.5
"274",1,19990015,0.5
"275",1,19990015,0.75
"276",1,19990015,0.75
"277",1,19990017,0.4
"278",1,19990017,0.6
"279",1,19990017,0.8
"280",1,19990017,1
"281",1,19990017,1
"282",1,19990017,0.8
"283",1,19990017,0.8
"284",1,19990017,0.8
"285",1,19990017,0.8
"286",1,19990017,0.6
"287",1,19990017,0.6
